1,1368,Kirkuk,kirkuk,en,11/10/17 11:45,0000-00-00 00:00:00,كركوك,kirkuk
2,1368,Kirkuk,kirkuk,ar,11/10/17 11:45,0000-00-00 00:00:00,كركوك,kirkuk
3,1369,Basra,basra,en,11/10/17 11:45,0000-00-00 00:00:00,البصرة,basra
4,1369,Basra,basra,ar,11/10/17 11:45,0000-00-00 00:00:00,البصرة,basra
5,1370,al-Sulaymaniya,al-sulaymaniya,en,11/10/17 11:45,0000-00-00 00:00:00,آل السليمانية-,al-sulaymaniya
6,1370,al-Sulaymaniya,al-sulaymaniya,ar,11/10/17 11:45,0000-00-00 00:00:00,آل السليمانية-,al-sulaymaniya
7,1371,al-Najaf,al-najaf,en,11/10/17 11:45,0000-00-00 00:00:00,النجف,al-najaf
8,1371,al-Najaf,al-najaf,ar,11/10/17 11:45,0000-00-00 00:00:00,النجف,al-najaf
9,1372,Karbala,karbala,en,11/10/17 11:45,0000-00-00 00:00:00,كربلاء,karbala
10,1372,Karbala,karbala,ar,11/10/17 11:45,0000-00-00 00:00:00,كربلاء,karbala
11,1373,al-Hilla,al-hilla,en,11/10/17 11:45,0000-00-00 00:00:00,الحلة,al-hilla
12,1373,al-Hilla,al-hilla,ar,11/10/17 11:45,0000-00-00 00:00:00,الحلة,al-hilla
13,1374,al-Nasiriya,al-nasiriya,en,11/10/17 11:45,0000-00-00 00:00:00,الناصرية,al-nasiriya
14,1374,al-Nasiriya,al-nasiriya,ar,11/10/17 11:45,0000-00-00 00:00:00,الناصرية,al-nasiriya
15,1375,al-Amara,al-amara,en,11/10/17 11:45,0000-00-00 00:00:00,العمارة-,al-amara
16,1375,al-Amara,al-amara,ar,11/10/17 11:45,0000-00-00 00:00:00,العمارة-,al-amara
17,1376,al-Diwaniya,al-diwaniya,en,11/10/17 11:45,0000-00-00 00:00:00,الديوانية,al-diwaniya
18,1376,al-Diwaniya,al-diwaniya,ar,11/10/17 11:45,0000-00-00 00:00:00,الديوانية,al-diwaniya
